n,query,,answer,source
0,How to change my profile picture on zoom,I want to change my zoom profile picture,"To access your Zoom profile, sign in to the Zoom web portal and click Profile. You can view and edit the following setting:
Profile Picture: To add or change your profile picture, click Change, then adjust the crop area on your current picture or upload a new one. You can also delete your profile picture by clicking Delete. ","https://support.zoom.us/hc/en-us/articles/201363203-Customizing-your-profile#:~:text=Profile%20settings,or%20upload%20a%20new%20one."
1,How to enable recording on zoom,I want to turn on the option for recording on zoom,"Sign in to the Zoom web portal.
Click Settings.
In the Recording tab, navigate to the Local Recording option and verify that the setting is enabled.
If the setting is disabled, click the toggle to enable it. If a verification dialog displays, click Turn On to verify the change.
Note: If the option is grayed out, it has been locked at either the group or account level, and you will need to contact your Zoom administrator.",https://support.zoom.us/hc/en-us/articles/201362473-Local-recording
2,How to record zoom meetings,I want to record a meeting on zoom,"The host must record the meeting or grant the ability to record to a participant.
Start a Zoom meeting as the host.
Click the option to Record.
If there is a menu, select Record on this Computer.
Click Participants to see which participants are currently recording.
Note: Dial-in participants will hear a message informing them that the meeting is now being recorded unless disabled by the host.

After the meeting has ended, Zoom will convert the recording so you can access the files.
Once the conversion process is complete, the folder containing the recording files will open.
Note: By default, the audio/video file (MP4) will be named Zoom_0.mp4. The audio only file (M4A) is named audio_only.m4a.",https://support.zoom.us/hc/en-us/articles/201362473-Local-recording
3,How to turn off chat notifications in zoom,How to mute chat notifications in zoom,"Open Zoom.
Click the Zoom icon in the top-right side of your screen.
Next, click Settings.
Now navigate to the Chat Tab.
Then scroll down to the Push Notifications section. Here you have two helpful choices:
- Select Nothing to dismiss all Zoom chat messages immediately,
- Alternatively, select Only private mentions, to hide all notifications coming from Zoom channels, and receive only those from 1:1 chats.",https://www.easytweaks.com/stop-zoom-chat-notifications/
4,How to upload my own background in zoom,I want to use my own background in zoom,"Open the app and sign in. 
Click your profile picture, then click on Settings.
In the left menu bar, click on the Virtual Background tab (if you don't see this tab, log in to the Zoom website, go to Settings and toggle on Virtual Background).
In the Virtual Background tab, select one of Zoom's defaults or upload your own image.
If you have a green screen set-up, you can select that option.
To add your own image or video, click the + icon to upload from your computer.",https://www.tomsguide.com/how-to/how-to-change-your-zoom-background
5,How to schedule a WebEx meeting,I want to schedule a Cisco WebEx meeting,"Sign in to your Cisco Webex site, click the drop-down arrow next to Schedule a Meeting, and then select Schedule a Meeting.
(Optional) If you have any saved meeting templates, you can select one from the Meeting templates.
Add the basics by providing the following information:
- Meeting type—Meeting types are default or customized sets of meeting features available for your site. Your account can have one or more meeting types associated with it.
- Meeting topic—Choose a topic that people will recognize and get excited about.
- Meeting password—Use the password that's provided or enter your own. Attendees must enter this password to join your meeting.
- Date and time—Indicate when the meeting will take place, keeping in mind the time zones of your attendees. You can also set the meeting to repeat daily, weekly, monthly, and so on, by checking the Recurrence check box.
- Attendees—Enter the email addresses of the people you want to invite to your meeting. If they have an account on this site, you can select  next to their name if you want them to be a cohost.
If your site administrator has enabled Tracking Codes, click Edit tracking code to enter the required information.
Click Show advanced options to customize how people can call into your meeting, add an agenda, and more.
To save these settings as a template for future use, click Save as template.
To start your meeting right away, click Start; if you're meeting later, click Schedule.
For scheduled meetings, you can add the meeting to your calendar by opening the meeting from Meetings > Add to my calendar Add to my calendar. This option appears next to the name of the meeting:
An iCalender (.ics) file downloads. Select the .ics file and accept the meeting. To invite others to your meeting, send the .ics file as an email attachment.",https://help.webex.com/en-us/xm3o0v/Schedule-a-Cisco-Webex-Meeting
6,How to create breakout rooms in zoom,I want to create breakout rooms in zoom,"Start an instant or scheduled meeting.
Click Breakout Rooms.
Select the number of rooms you would like to create, and how you would like to assign your participants to those rooms:
- Automatically: Let Zoom split your participants up evenly into each of the rooms.
- Manually: Choose which participants you would like in each room.
- Let participants choose room: Participants can select and enter rooms on their own. 
Click Create Breakout Rooms. Your rooms will be created, but will not start automatically.
To assign participants to your rooms, select Assign next to the room you wish to assign participants to and select the participants you want to assign to that room. Repeat this for each room.
Once a participant has been assigned (manually or automatically), the number of participants will show in place of the Assign button.
After manually or automatically assigning participants to rooms, hover over the participant or room and select Open All Rooms",https://support.zoom.us/hc/en-us/articles/206476313-Managing-Breakout-Rooms
7,How to enable breakout rooms in zoom,I want to be able to use breakout rooms in zoom,"Sign in to the Zoom web portal.
In the navigation menu, click Settings.
Navigate to the Breakout Room option on the Meeting tab and verify that the setting is enabled.
If the setting is disabled, click the toggle to enable it. If a verification dialog displays, choose Turn On to verify the change.

Note: If the option is grayed out, it has been locked at either the Group or Account level, and you will need to contact your Zoom administrator.
(Optional) Click the checkbox to allow meeting hosts to pre-assign participants to breakout rooms.",https://support.zoom.us/hc/en-us/articles/206476093
8,How do I contact Microsoft Teams users from Skype?,I want to call microsoft teams users from skype,"To connect with a Microsoft Teams user in a one-to-one chat or call:
Open the Skype app.
Select Search icon People, groups & messages and enter their business email to search for them.
Select your contact result from PEOPLE and then send them a message.
Note: Only certain chat and call functionality will be available.
After they have accepted your request, they will appear in your contact list.",https://support.skype.com/en/faq/FA34930/how-do-i-contact-microsoft-teams-users-from-skype
9,How to join a Microsoft Teams meeting,I want to join a microsoft teams meeting,"All you need to join a Teams meeting is a link.
Select Click here to join the meeting in your meeting invite to be taken to a page where you can choose to either join on the web or download the desktop app. If you already have the Teams app, the meeting will open there automatically.
If you don’t have a Teams account and the organizer has allowed it, you may have the option to enter your name to join the meeting as a guest. If you do have a Teams account, select Sign in to join with access to the meeting chat and more. Then, depending on the organizer’s settings, you may join the meeting right away or go to the lobby where people in the meeting can admit you.",https://support.microsoft.com/en-us/office/join-a-meeting-in-teams-1613bb53-f3fa-431e-85a9-d6a91e3468c9
10,How to change my video background in Microsoft Teams,I want to change my background in microsoft teams,"If you want to change what appears behind you in your video, you can either blur your background, or replace it entirely with any image you want.
When you're setting up your audio and video before a meeting, select Background filters Background settings (just below the video image). You'll see your background options on the right. 
Note:  If you don't see the option to turn on background effects, the feature might not be available on your device yet.",https://support.microsoft.com/en-us/office/using-video-in-microsoft-teams-3647fc29-7b92-4c26-8c2d-8a596904cdae
