n,query,,answer,source
1,I forgot my gmail password,How do I recover my gmail password?,"Starting the password recovery process is pretty easy: just click the “forgot password” link on the Gmail sign-in page. You’ll then be shown a asking you to put in the last password you can remember. If you can remember a correct password and you have a backup system set up, you’ll then be asked to continue in a variety of ways. If you can’t remember any of them, click “try a different question.” The next option will be sending a code to a recovery email, which rather presumes that you have a secondary recovery email (which you set up way back when you created your Gmail account in the first place). Using this option will send you a link at your secondary email account (which doesn’t need to be Gmail), with a 6-digit code that will allow you to set up a new password and regain access to your account. Check your mail on this secondary account to see the code, then enter it to unlock a new password generator. Newer accounts may also have a phone number backup option—see below. If that doesn’t work—like, say, you don’t have access to the account that you originally designated as a backup either—click “try a different question” again. Now we’re getting into older, less secure methods of account protection, like security questions such as “what’s your mother’s maiden name.” You should be able to answer at least one of these.",https://www.howtogeek.com/304996/how-to-recover-your-forgotten-gmail-password/
2,Can i prevent people from guessing my password,What is an account lockout?,Account lockout keeps the account secure and prevents anyone/anything from guessing the password multiple times. When your account is locked you must wait the set amount of time before being able to log back in. ,"https://www.computerhope.com/jargon/a/accolock.htm#:~:text=Account%20lockout%20keeps%20the%20account%20secure%20by%20preventing,being%20able%20to%20log%20into%20your%20account%20again."
3,I dont know about passwords,What is a password?,A password is a set of secret characters or words used to authenticate access to and secure a digital system. They help to ensure that computers or data can only be accessed by those who have the right to view/access the data. ,https://www.computerhope.com/jargon/p/password.htm
4,Will I be logged in on all devices after password reset? ,What happens when you reset your password?,"After resetting password, you'll be logged out of everywhere except: the device you used to verify that its you when you sign in.",
5,Can someone else reset the password for my account? ,What is facilitated password reset? ,"A facilitated reset allows a delegate (such as an administrator or service desk operator) to perform a password reset or account unlock on behalf of another user. That said, there are often security holes in the facilitated reset process",https://www.fastpasscorp.com/blog/facilitated-password-reset-video/
6,Can i change the password already set for me by the system? ,How to remove auto passwords?,,
7,Why cant i make a short password,Why is there a minimum password length?,"Minimum recommended length for passwords is 8 characters, to increase complexity of password and prevent the account from hacking since its difficult to break. ",
8,"Why is important to use special characters, alphabets and numbers in a password ",Whats the role of a password being complex with mixture of different characters? ,"Security experts agree that upper and lowercase alphanumerical characters & special characters are good practices for increasing passwords strength and making it capable of resisting guessing and brute-force attacks. In order to add complexity without compromising ease-of-use, users could modify passphrases by inserting spaces, punctuation and misspellings",https://resources.infosecinstitute.com/topic/password-security-complexity-vs-length/
9,not receiving two factor verification code,What to do if I am not receiving verfication code? ,Try the following: Check if the date and time on your device is up to date. Check if you have an updated app. Make sure your network connection is strong. ,
10,I am unable to reset my password ,What to do if i can't reset or change expired password?,,
11,I dont want two factor authentication,How can I disable two factor authentication?,Each sysem has different process. But the general idea is to go to settings>>Passwords and Security tab>>Two factor authentication and turn it off. ,
12,"I forgot/lost my phone, how do i get through with 2FA?",What if I lost the device I used to set up two-factor authentication?,"a. Disable two-factor authentication using a back-up code. b. Receive more back-up codes for two-factor authentication on your back-up phone number. If a and b dont work, contact help desk for a particular website. ",https://support.dashlane.com/hc/en-us/articles/202699101-What-if-I-lost-the-device-I-used-to-set-up-Two-Factor-Authentication-
13,Is it safe to repeat same password everywhere?,Is using same password for multiple accounts/websites safe?,"If its a matter of safety, using the same passwords everywhere will make your accounts more vulnerable to hacking. However, if you have accounts which pose no security risk if compromised, using same password on all of them is a no-brainer. Update this password across all applicable locations when it changes to ensure consistency.",https://www.techrepublic.com/article/10-tips-to-help-reduce-user-account-lockouts-and-password-resets/
14,I dont know when my password expires,How to keep a track that the password will change soon or expire? ,"The key is to be proactive. Its recommended to set reminders to change their passwords before they actually expire. Also, keep track of when your password will expire even if you do get advanced notification (such as emails).",https://www.techrepublic.com/article/10-tips-to-help-reduce-user-account-lockouts-and-password-resets/
15,Why to use password managers ,What are the advantages of using a password manager?,a. Passwords are kept in one safe place. b.No need to remember all passwords. c.It allows generating robust passwords d.It makes it easier to change passwords,
16,Why not to use password managers,What are the disadvantages of using a password manager?,a. Forgetting master password could be disastrous b. Forgetting to sing out could allow someone access to all accounts. c.It may not protect your data from specific threats. d. The tool can be rather expensive,"https://www.cyclonis.com/what-advantages-disadvantages-using-password-manager/#:~:text=What%20are%20the%20advantages%20of%20using%20a%20password,It%20makes%20it%20easier%20to%20change%20passwords.%20"
17,Are there other forms of passwords ,What is a picture password?,"Picture password is a feature introduced with Windows 8 that allows you to create three different gestures on any image of your choice and then use those gestures as your password. The gesture can be any combination of circles, straight lines, and taps. For example, if the picture was a face, you could be a tap on each eye and then circle around the mouth.",
18,I want to unlock my laptop with a picture,How to enable picture password?,"1. Open Windows Charms. 2. Click Settings and then More PC Settings. 3. There, click Users and Create Picture Password.",
19,why to use automated password reset,What are the advantages for automated password reset?,"It will help combat the following: It’s time-consuming for both users and help desk staff. During non-business hours, help desk services may not be available – keeping users from their apps, data and other tools. Costs add up quickly due to the large number of tickets. Technicians may become bored or frustrated with spending so much of their time on elementary tasks – leading to high staff turnover.
",https://www.bmc.com/blogs/stop-wasting-time-money-automate-password-resets-can-get-important-work-done/
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,I don't know how to make a high-securitty password.,What are the tips to create a high-security password,"Make it long. This is the most critical factor. Choose nothing shorter than 15 characters, more if possible.
Use a mix of characters. The more you mix up letters (upper-case and lower-case), numbers, and symbols, the more potent your password is, and the harder it is for a brute force attack to crack it.
Avoid common substitutions. Password crackers are hip to the usual substitutions. Whether you use DOORBELL or D00R8377, the brute force attacker will crack it with equal ease. These days, random character placement is much more effective than common leetspeak* substitutions. (*leetspeak definition: an informal language or code used on the Internet, in which standard letters are often replaced by numerals or special characters.)
Don’t use memorable keyboard paths. Much like the advice above not to use sequential letters and numbers, do not use sequential keyboard paths either (like qwerty). These are among the first to be guessed.",https://blog.avast.com/strong-password-ideas
27,I need a hint.,What is my password hint?,*give them the hint that they entered*,
28,I want to see all of the security questions,What are some security questions,*give them the security questions in the system*,
29,I don't know what is a security question,What is a security question,Password security question are meant to add an additional layer of security to online account logins.,
30,Simple password vs. Strong password,Why do I need to make a strong and uncommon password?,"The weaker a password is, the easier it is to hack. Cybercriminals have a list of the most common passwords (12345, qwerty, password123, etc.), and too often that’s all they need to break into a corporate network.
Passwords that are too short (less than about 7 characters) and use all lowercase letters, make it easy for a hacker to breach either by guessing or using a software designed to crack a login.
Complicated passwords that are long, use a combination of symbols, numbers, and upper and lowercase letters are much more difficult for a hacker to get past.",http://brainstomp.com/blog/answers-questions-password-security
31,I will include my personal information in my password so I can remember it,Should I include my personal information in my password?,"While it is not recommended, Internet users tend to include personal information in their passwords for easy memorization. However, the use of personal information in passwords and its security implications have yet to be studied.",https://www.researchgate.net/publication/317072840_Personal_Information_in_Passwords_and_Its_Security_Implications
32,I have my Capslock on,Does case-sensitive matter in password?,"Yes, case-sensitive matter in your password.",
33,I don't know who can steal my password.,Who can steal my password?,"Hackers, criminals who want your personal information",
34,I want to know if my password is safe or not,How do I know if my password safe or not?,"A password should include a combination of letters, numbers, and characters. A password shouldn't be shared with any other account. A password shouldn't include any of the user's personal information like their address or phone number.","https://www.security.org/how-secure-is-my-password/#:~:text=A%20password%20should%20include%20a,their%20address%20or%20phone%20number."
35,I want to use previous passwords,Can I use previous passwords?,"No, we don't recommend you to use your previous passwords because this act will increase your chance of losing your account to hackers.",
36,I don't understand why my new password needs to be unique.,Why must new password different from the old password?,"If you try to use the same password, you aren't changing your password. You're re-entering your password. We want you to change your password to limit the amount of time a compromised password is valid.",https://security.stackexchange.com/questions/137681/why-must-new-password-must-be-different-from-old
37,I want to use the same password that I used on other websites.,Should I use the same password for multiple websites?,"Reusing the same password is a bad practice because it opens up to credential stuffing attacks, which take leaked credentials from one site/service and use them on other sites/services. It's as if you had multiple houses and used the same lock and key for all of them",
38,I want to remember my password.,What should I do to remember your password?,"Write it down on paper, notebook, or sticky notes but do not include your username and the website address. Typing your password at least 30 times to help you commit your password to the muscle memory. ",https://www.bates.edu/helpdesk/2017/05/10/is-there-a-list-of-common-questions-asked-about-passwords-at-bates/
39,My password is too old,How often should I change my password?,"At least once every 60-90 days, if not more. ","https://www.keepersecurity.com/blog/2020/12/21/how-often-should-you-change-your-password-keeper-security/#:~:text=their%20passwords%20frequently.-,How%20often%20should%20you%20require%20users%20to%20change%20their%20passwords,beef%20up%20your%20password%20security.&text=Creating%20a%20secure%20password%20is,control%20of%20your%20password%20security."
40,I want to use two factor authentication,How does two factor authentication makeyour account more secure,"The idea is that you're adding a confirmatory step to your sign in attempt. Using the SMS example, it means no one can log into the account in question from a new device, even if they have your password. When someone tries to log into your account from a new device, or even new browser, with your password, when they hit ""enter"" or ""submit"", it'll take them to a new screen asking for a code. This code has been sent to the registered mobile number as an SMS. ",https://www.pocket-lint.com/apps/news/141559-what-is-two-factor-authentication-and-why-should-you-use-it
41,I want to set up two factor authentication,How do I set up two factor authentication?,"Each website has their own two factor authentication. In order to set them up, you have to go to their security setting and choose two-step verification or two-factor authentication",
42,I don't know two factor authentication,What is two factor authentication?,"It's basically adding a second layer of protection to your account, app or service to go alongside your regular method of logging in. In most instances, this involves receiving a code by SMS to your mobile number, but increasingly apps and services are sending a confirmation number to your device as a notification instead. Sometimes you can just tap the notification to approve the login. ",https://www.pocket-lint.com/apps/news/141559-what-is-two-factor-authentication-and-why-should-you-use-it
43,I want to use password managers.,Should I use password managers?,"Yes. Password managers are a good thing. They give you huge advantages in a world where there's far too many passwords for anyone to remember. they make it easy for you to use long, complex, unique passwords across different sites and services, with no memory burden. They are better than humans at spotting fake websites, so they can help prevent you falling for phishing attacks",https://www.ncsc.gov.uk/blog-post/what-does-ncsc-think-password-managers
44,Password managers bad sides,What are the cons of password managers?,"Your password could get stolen in one go. If you forget the master password for your password manager, you will not be able to get back in. You will have to try and access all your accounts individually, or recreate/reset them from scratch. This will hurt.",https://www.ncsc.gov.uk/blog-post/what-does-ncsc-think-password-managers
45,My password is safe. I don't want to change it.,Why your password may not always safe?,"Massive breaches happen all of the time. Because they already have your password and because passwords are hard to think up and get reused (62% of users admit reuse), hackers can break into more than one of your accounts. More than 20 million accounts probed daily in Microsoft ID systems.",https://www.forbes.com/sites/brookecrothers/2020/11/14/microsoft-warns-a-strong-password-doesnt-work-neither-does-typical-multi-factor-authentication/?sh=5e80dfdc539e
46,I want to use simple password,Why I should not use weak passwords?,"By that logic you could just say ""Why should I lock my door when I leave my house? Someone could just throw a brick through the window if they wanted in anyways"". Weak passwords always play a major role in any hack. Weak passwords can be guessable or attacker can bruteforce if the length of the password is very small. Your privacy should always remain a top priority when using the internet and you should protect that privacy any way you know how. ",https://security.stackexchange.com/questions/61240/why-not-use-weak-passwords
47,I want to use password generators,Should I use password generators?,"Password generators can save you from fraud and other cyber security threats by creating secure and strong passwords. However, all passwords are not created equally. Understand how each password works to get the one that will befit your requirements.","https://www.teampassword.com/blog/why-should-i-use-a-password-generator#:~:text=Password%20generators%20can%20save%20you,that%20will%20befit%20your%20requirements."
48,Hackers cannot steal my password.,How can hackers get my password?,"When hackers are trying to get passwords, they don’t guess them one by one in a password field. Instead, they have a toolbox of software programs and databases to help them figure out credentials that might work. most passwords that hackers have access to are stolen in large data breaches from popular online services. When popular services like LinkedIn, eBay, and Adobe have millions of records leaked, the passwords stolen in those breaches are compiled in large databases. Less well-known websites are also regularly hacked due to poor security protocols. So, what do hackers do? They use these “dumps” of data to perform “credential stuffing”, where they use software (or “bots”) to automatically test every username and password combination in the database to see if any successfully log on to another website (like a bank). ",https://blog.lastpass.com/2020/10/how-do-hackers-get-passwords/
49,I don't know why hackers steal my password,What happen if hackers stole my password and information?,"Criminals use stolen login credentials to break into accounts with payment details, such as shopping accounts. This is called account takeover, and it often leads to identity theft. If the hacker changes your password, you will also lose access to your account.","https://www.f-secure.com/us-en/home/articles/why-do-hackers-want-your-personal-information#:~:text=Criminals%20use%20stolen%20login%20credentials,lose%20access%20to%20your%20account."
50,I don't need special characters in my password.,"Why should I include some special characters such as @,#,!, etc.?",Special characters will make your password more secure because it will make your password become more unique and it will become a challenge for hackers to know your password and steal your personal information.,
51,What are the password requirements,What should my password consist of,"Characteristics of strong passwords: At least 8 characters—the more characters, the better, A mixture of both uppercase and lowercase letters, A mixture of letters and numbers, Inclusion of at least one special character, e.g., ! @ # ? ],Note: do not use < or > in your password, as both can cause problems in Web browsers.",https://its.lafayette.edu/policies/strongpasswords/
52,What shouldn't I include in a password,what isn't allowed in my password,"Don’t use easily guessed passwords, such as “password” or “user.” 1. Do not choose passwords based upon details that may not be as confidential as you’d expect, such as your birth date, your Social Security or phone number, or names of family members. 2. Do not use words that can be found in the dictionary. Password-cracking tools freely available online often come with dictionary lists that will try thousands of common names and passwords. If you must use dictionary words, try adding a numeral to them, as well as punctuation at the beginning or end of the word (or both!). 3. Avoid using simple adjacent keyboard combinations: For example, “qwerty” and “asdzxc” and “123456” are horrible passwords and that are trivial to crack.","https://krebsonsecurity.com/password-dos-and-donts/#:~:text=%2DDon't%20use%20easily%20guessed,be%20found%20in%20the%20dictionary."
53,which passwords are the most common,what are common passwords,"These are the 10 most frequently used and worst passwords of 2020, according to NordPass's most common passwords list:

123456
123456789
picture1
password
12345678
111111
123123
12345
1234567890
senha",https://www.csoonline.com/article/3526408/most-common-passwords.html
54,can my password be the same as my username,am i allowed to use my username as a password,No!,
55,how long can my password be,is there a required length for my password,A password should be 12 characters at a minimum — ideally 16 or more. Using a multi-word passphrase makes even longer passwords possible and easy to remember.,"https://askleo.com/how_long_should_a_password_be/#:~:text=A%20password%20should%20be%2012,possible%20and%20easy%20to%20remember."
56,how often should i change my password ,should i change my password,"At least once every 60-90 days, if not more. Be sure you're using tools like multi-factor authentication and a password manager to beef up your password security. Creating a secure password is the first step in taking control of your password security","https://www.keepersecurity.com/blog/2020/12/21/how-often-should-you-change-your-password-keeper-security/#:~:text=their%20passwords%20frequently.-,How%20often%20should%20you%20require%20users%20to%20change%20their%20passwords,beef%20up%20your%20password%20security.&text=Creating%20a%20secure%20password%20is,control%20of%20your%20password%20security."
57,why do i need a password,why are passwords needed ,"Passwords provide the first line of defense against unauthorized access to your computer and personal information. The stronger your password, the more protected your computer will be from hackers and malicious software. You should maintain strong passwords for all accounts on your computer.","https://it.uottawa.ca/security/identity-authentication-theft#:~:text=Passwords%20provide%20the%20first%20line,all%20accounts%20on%20your%20computer."
58,what are the best types of passwords ,what type of password would you recommend,"A strong password is one you can’t guess or crack using a brute force attack. Hackers use computers to try various combinations of letters, numbers, and symbols in search of the right password. Modern computers can crack short passwords consisting of only letters and numbers in mere moments.",https://cybernews.com/best-password-managers/how-to-create-a-strong-password/
59,how can i remeber my password,What can I do to help me remember my new password?,"There are a number of things you can do: Write it down.It should be the only thing on the paper, do not include your username. When writing down a password you should obfuscate it in some fashion, such as adding characters to it or taking characters out so that someone who sees it will have a hard time guessing your password. Once you’ve written it down you should store it in a safe place like a locked drawer. After you have memorized your password you should destroy the paper so that the password only exists in your head. Type it thirty (30) times in a row.Typing your password thirty times will help you commit it to muscle memory.Chose not to have applications save your password.By choosing not to have applications save your password you will force yourself to type your password more often. This will improve your ability to remember your password.",https://www.bates.edu/helpdesk/2017/05/10/is-there-a-list-of-common-questions-asked-about-passwords-at-bates/
60,what are the different types of user autentication methods ,what types of passwords are there,"Single-Factor/Primary Authentication.
Two-Factor Authentication (2FA)
Single Sign-On (SSO) 
Multi-Factor Authentication (MFA) 
Password Authentication Protocol (PAP) 
Challenge Handshake Authentication Protocol (CHAP) 
Extensible Authentication Protocol (EAP)",
61,why do i need to reset my password,,,
62,what are common security questions,,"What is your mother's maiden name?
What is the name of your first pet?
What was your first car?
What elementary school did you attend?
What is the name of the town where you were born?",https://www.journalofaccountancy.com/issues/2018/mar/password-recovery-questions.html
63,can i use the same password for everything,,"No its not safe to. Using different passwords on different sites is not only good practice, it's necessary to keep your accounts safe. In addition to the risks of exposing your password to malware on your own machine, using the same password everywhere puts you at the mercy of the service with the worst security. Hackers take passwords, email addresses, and user names they discover and try to sign in with them at other online services, which works surprisingly often. Different passwords for everything prevents it.",https://askleo.com/different-passwords-for-everything/
64,why does my password have to be so complicated ,why does my password have to be unique,"The weaker a password is, the easier it is to hack. Cybercriminals have a list of the most common passwords (12345, qwerty, password123, etc.), and too often that’s all they need to break into a corporate network. Passwords that are too short (less than about 7 characters) and use all lowercase letters, make it easy for a hacker to breach either by guessing or using a software designed to crack a login. Complicated passwords that are long, use a combination of symbols, numbers, and upper and lowercase letters are much more difficult for a hacker to get past.",http://brainstomp.com/blog/answers-questions-password-security
65,should i share my password with people i trust ,is it safe to share my password,"Anytime you share your password with someone else, you lose control over its security. Even if it’s a trusted friend, they could accidentally leave your password written down on a sticky note on the desk or share it with someone else. Whatever happens on your login is your responsibility, even if it wasn’t you that logged in, so it’s best to never share your password. ",http://brainstomp.com/blog/answers-questions-password-security
66,"how am i supposed to remember a bunch of unique, difficult passwords?",,"If someone had even 20 different logins (most people use many more than that between home and work) and each of those used what’s considered a strong password and each one used a completely different password, it would be impossible for the average person to remember them all. And especially so if they changed regularly. The answer is to use a password management application. Not only does it reduce the passwords you have to remember to one, it also can suggest strong passwords when setting up logins and will keep your passwords stored securely in a password vault.",http://brainstomp.com/blog/answers-questions-password-security
67,what should i do if someone find out my password ,what to do if someone guesses my password,"The first thing to do when your password is stolen is to change it immediately. And additionally, while it's a huge pain, you should have different passwords for each account so when something like this happens you don't have to change them all.",https://www.bustle.com/p/the-first-thing-you-should-do-if-your-password-is-stolen-69079
68,what type of password system is the most secure,what type of user authentication method is the most secure,"To be classed as ""strong"" authentication requires two factors out of:

Something you have I.e token, smart card, mobile phone ...
Something you know I.e password, secret ...
Something you are I.e finger print, iris scan ...
One of these factors must be the something you have I.e a physical device that only you have access to.

The most secure type of authentication is down to the details of the physical device factor. The strongest approaches use PKI cryptography where the private key is stored on a smart card and never leaves the smart card, and where it is extremely difficult, given the smart card to be able to clone it quickly.

You don't necessarily need this Rolls Royce physical factor approach though. All forms of physical factor are pretty good. Sending a one-time-password to a phone via SMS is great for most applications and at a totally different level in terms of security compared to logonid and password.

The most secure approach for authentication however will come when we the users are allowed to choose the authentication provider we want to use for every site we visit. Of course there will be minimum requirements. On a bank site our authentication provider will have to support ""strong"" authentication and also in future digital signing of transactions. This brave new world is referred to as federated authentication. The U.S. Government led NSTIC is trying to stimulate federated authentication and the wider topic of federated identity adoption.",https://www.quora.com/What-is-the-most-secure-approach-for-authentication
69,why are security questions needed,,"Security questions can add an extra layer of certainty to your authentication process. Security questions are an alternative way of identifying your consumers when they have forgotten their password, entered the wrong credentials too many times, or tried to log in from an unfamiliar device or location.","https://www.loginradius.com/blog/start-with-identity/2019/01/best-practices-choosing-good-security-questions/#:~:text=Security%20questions%20can%20add%20an,an%20unfamiliar%20device%20or%20location."
70,is it common to share your password,do people share their passwords ,"You should never share your password. When you share your password with another person, you essentially grant them access to not only that account, but every account you own that uses the same password.",https://topcontent.com/blog/4-risks-of-sharing-passwords/
71,I forgot my Skype password,,"If you forgot your Skype password, reset your password now. 
If you forgot your Skype password but do not have access to your email or phone to verify your identity:
Go to the account recovery form.
You will be asked for your email, phone number and Skype name as well as an additional email that we can contact you at.
Find information about the recovery form, including tips for completing it, here. 
Once you have submitted the form it may take up to 24 hours to verify your information.  The results of the request will be sent to the additional email address you provided.",https://support.skype.com/en/faq/FA109/i-ve-forgotten-my-skype-user-name-or-password
