n,query,,answer,source,
1,What are the top rated antivirus software available?,,"Bitdefender, Kaspersky, Webroot, and NortonLifeLock",usnews.com,
2,How do I make a strong password?,,"1) make the password at least 12 characters long
2) include a combination of letters, numbers, and symbols
3) don't use accented characters",support.google.com, 
3,How do I know if someone is spying on my cell phone?,,"1) check if your phone has been using unusually high amounts of data
2) see if your phone shows signs of activity in standby mode
3) if your phone unexpectedly reboots
4) if you hear odd sounds during phone calls
5) if you are getting weird or offensive text OR your friends are receiving them from you
6) your battery life is deteriorating 
7) when your phone is idly standing by and the temperature of your battery is increasing
8) it takes longer for you phone to shutdown
9) for phone is running slower and slower",https://pixelprivacy.com/resources/spying-on-your-cell-phone/,
4,How do I know if a social media account is fake?,,"1) Check the updates posted on the profile. Make sure the account is communiicating with other members.
2) Keep an eye out if the account often sends out spam.
3) If the profile claims to be a high-profile user check for the social media's verification symbol 
4) Check is the account is made for fake reviews. Signs of such would be if they comment on the brand as a whole 
and not a specific product",https://safeonline.ng/social-media/how-to-spot-fake-social-media-account/,
5,Can malware be installed without my knowledge?,,"Yes, a common example is when visiting a malicious website where it will use the vulnerabilities of your PC to infect it. It will 
do this without your knowledge.",https://support.microsoft.com/en-us/windows/how-malware-can-infect-your-pc-872bf025-623d-735d-1033-ea4d456fb76b,
6,How do I know if an email is a phishing attempt?,,"1) Note that such emails may look like they come from companies you trust
2) The emails above often try to provide a story that will convince you to click on a link including...
    - suspicious activity or log in attemps
    - say there is a problem with yout payment information
    - say you must conform personal information
    - include a fake invoice
    - click on a link to make a payment
    - say you are eligable for a gonvernment refund
    - offering a free cupon ",https://www.consumer.ftc.gov/articles/how-recognize-and-avoid-phishing-scams,
7,Can someone spy on me through my phone camera?,,"Yes, you can be spied on through your camera. There are several applications that can be found online that allows 
someone to spy on you through your phone.","https://www.gadgetsnow.com/faqs/how-do-i-know-if-someone-is-monitoring-my-phone/articleshow/76994253.cms#:~:text=Can%20someone%20spy%20through%20a,through%20their%20cell%20phone%20camera.",
8,How do I know when to update my security software?,,"You should often check you security products account where you will find the option to check for updates in the file or 
help menu.","https://www.pcmag.com/how-to/how-to-check-your-security-software-settings-and-status#:~:text=In%20fact%2C%20check%20all%20your,icon%20in%20the%20notification%20area.",
9,What personal information should I protect?,,"Low Sensitivity
     - full name, address, and phone number
Medium Snesitivity
     - date of birth, place of birth, mothers maiden name
High Sensitivity
     - bank account number, social security number, pin numbers, credit/debit card numbers, and passwords",https://us.norton.com/internetsecurity-privacy-what-personal-information-should-you-safeguard.html,
10,What are the dangers of using a mobile hotspot?,,"1) IT admins tend to lose control of what could be streaming over the internet connection
2) Could expose a user's corprate login credentials","https://searchmobilecomputing.techtarget.com/answer/What-are-the-dangers-of-mobile-hotspot-tethering#:~:text=Mobile%20hotspot%20tethering%2C%20a%20standard,another%20device's%20cellular%20data%20network.&text=The%20problem%20is%20that%20mobile,worse%2C%20to%20breaches%20and%20hacking.",
11,What are some ways to secure my device while using a mobile hotspot?,,"1) Enable WPA2 and set a strong passwaord
2) Use a VPN
3) Set up guest networks
4) Make sure device antivirus is up to date
5) Disallow mobile hotspots on company devices","https://searchmobilecomputing.techtarget.com/answer/What-are-the-dangers-of-mobile-hotspot-tethering#:~:text=Mobile%20hotspot%20tethering%2C%20a%20standard,another%20device's%20cellular%20data%20network.&text=The%20problem%20is%20that%20mobile,worse%2C%20to%20breaches%20and%20hacking.",
12,What are some ways to shop safe online?,,"1) Shop with reputable retailers
2) Vet new-to-you businesses
3)Beware amazing deals
4) Don't browze on public Wi-Fi
5) Use a VPN
6) Pick a strong Password
7) Check site security before you buy
8) Don't fall for email scams
9) Guard your personal Information
10) Pay with credit not debit
11) Add extra secirity with a virtutal credit card
12)Keep an eye out for fraud
13) Mind the details
14) Track you stuff
15) Report Scammers",https://www.lifelock.com/learn-internet-security-safe-online-shopping.html,
13,How can I know if an online shop is legit? ,,"1) Check to see if there is contact information 
2) Check the customer feedback on the product or company. It also wouldn't hurt to search the name of the company and
the word ""scam"" or ""fake""
3) Use Whois. You can type in the webaddress and this website will let you know if the site is registered. 
4) See if the website is using encription measures by looking for ""https://www."" at the beginning of the webaddress
5) Use google Safe Browsing
6) Pay attention to the look and feel of the website, does it look professional?",https://justaskthales.com/en/can-i-tell-ecommerce-website-genuine/,
14,Should I let my web browser remember my passwords?,,"No you should not. It is fairly easy to view passwords on your web browser, therefore it would be quite easy for anyone to view your passwords. ",https://www.techrepublic.com/article/why-you-should-never-allow-your-web-browser-to-save-your-passwords/,
15,Should I answer online security questions truthfully?,,"The Identity Theft Resource Center encourages to use alternative answers as it would be nearly impossible to research or
guess the answer.",https://www.idtheftcenter.org/choose-strong-security-questions-answers-for-online-accounts/,
16,Is online banking safe?,,It is safe when secure technology on the back end is met with alert consumers on the front end.,https://www.nerdwallet.com/article/banking/online-banking-security,
17,How do I improve my online banking security?,,"1) Choose an insitution that uses industry-standard security 
2) Skip public Wi-Fi private banking 
3) Keep anti-virus software current
4) Change passwords regulary
5) Ask for text alerts when a large transaction has been made",https://www.nerdwallet.com/article/banking/online-banking-security,
18,Should I use my personal phone number for business?,,"No, your personal information is under constant threat from hackers, scammers, and pranksters; thus, you should not make it easier to gain your information by providing your real phone number for business.","https://www.mightycall.com/blog/avoid-using-a-personal-cell-phone-number-as-a-business-line/#:~:text=In%20a%20nutshell,phone%20system%20to%20combat%20this.",
19,Should I use my credit or debit card when shopping online?,,"From a legal perspective, credit cards generally provide more protection against fraudulent activity.",https://www.nerdwallet.com/article/credit-cards/credit-card-vs-debit-card-safer-online-purchases,
20,Can online ads contain malware?,,"Yes, clicking on such an ad could install spyware, viruses, trojans or other types of malware on your computer.","https://us.norton.com/internetsecurity-malware-malvertising.html#:~:text=Clicking%20on%20such%20an%20ad,of%20malware%20on%20your%20computer.",
21,What are the most common hacking techniques,,"Common ways could include:
1) Fake WAP
2) Bait and Switch
3) Credential Reuse
4) SQL Injection
5) Browser Locker",https://nordvpn.com/blog/hacking/,
22,Which countries account for the most hacking traffic?,,"China, United States of America, Turkey, Russia, Taiwan, Brazil, Rome",https://abcnews.go.com/Technology/slideshow/top-hacking-countries-19844818/image-19845656,
23,"What does it mean when my camera is on, but I'm not using my camera?",,"If your webcam indicator light is on or it’s acting abnormally (you see a blinking LED) even though you haven’t turned the 
webcam on, it’s a sign that something might not be right.",https://nordvpn.com/blog/tell-if-laptop-camera-hacked/,
24,Can my smartwatch be hacked?,,"A smartwatch can be hacked causing API issues. This could lead to a hacker making phone calls, spying on users,
 sending fake messages, and more.","https://www.zdnet.com/article/smartwatch-tracker-for-the-vulnerable-can-be-hacked-to-send-medication-reminders/#:~:text=ZDNet%20Academy-,Smartwatch%20tracker%20for%20the%20vulnerable%20can%20be%20hacked%20to%20send,send%20fake%20messages%2C%20and%20more.",
25,Is it possible for an electronic personal assistant to get hacked?,,"Similar to other computer programs, the fundamental issue with these digital assistants is that they are vulnerable
 to technical and process failures. Digital assistants can also be hacked remotely, resulting in breaches of users’ privacy.","https://theconversation.com/the-dark-side-of-alexa-siri-and-other-personal-digital-assistants-126277#:~:text=Similar%20to%20other%20computer%20programs,in%20breaches%20of%20users'%20privacy.",
26,How do I know if an app is safe?,,"Read the reviews.
Check how long the App has been available. 
Check the publisher and source – is this app from a trusted brand (reputable games developer or social network?)
Check your phone:- find and use it’s malware checker or get a decent one.
Download anti-malware. 
Read App Store reviews. 
Consider an app’s permissions. If it wants to access your camera and microphone, but it’s supposed to be helping you clear out your contact list, that should feel like a very strange request that warrants a little extra research.
Don’t download apps that don’t come recommended. ",http://fopl.ca/news/something-to-share-how-do-i-know-if-an-app-is-safe/,
27,How to use emails safely?,,"1.Don't open emails from someone you don't know or trust.
2.Avoid sending any sensitive information over email. 
3.Never open an attachment within an email from a company or person you don't know (or that you were not expecting).
4.Never reply to or click on links inside spam emails.
5.Use a spam filter.
6.Use anti-virus software.
7.Be cautious connecting to open WiFi.
8.Keep your passwords secure.
9.Avoid unsolicited bulk mail.

",https://www.centurylink.com/home/help/internet/security/tips-for-email-safety.html,
28,How do I install an antivirus on my computer using Windows?,,"1.
Understand the need for an antivirus program. Windows is the most virus-prone operating system (OS) out of the three major OSes. It has the most users and the weakest built-in security. Antivirus programs will defend your computer from malware that comes through email, flash drives, downloads, websites and more.
2. 
Acquire an antivirus program. There are several popular free options available that do a good job of protecting the average user. These programs are updated frequently with new virus definitions that recognize the latest threats.[1]
If you frequently deal with files or websites that are virus-infected, you may want to opt for more powerful paid protection. Paid antivirus programs are typically available for a yearly subscription fee.
When downloading free or paid antivirus programs, ensure that you are downloading from a trusted source. There are many programs out there that claim to be antivirus/antimalware but instead install malware themselves. Read reviews and download products from companies that have been around for a long time.[2]
Windows 10 and 8 have Windows Defender, which is a free anti-malware application provided by Microsoft. It's already built-in.
3. 
Install the antivirus program. Make sure that no other programs are running while you install the antivirus. You will most likely need to be connected to the internet to download additional files and updates.
Some free antivirus programs come packaged with toolbars for your web browser. These can add protection but also change your search options and bog down older computers. You have the opportunity to opt out of these changes during the installation process.",https://www.wikihow.com/Install-an-Antivirus,
29,How do I know if a website is safe? ,,"Google’s Safe Browsing technology examines billions of URLs per day looking for unsafe websites. Every day, we discover thousands of new unsafe sites, many of which are legitimate websites that have been compromised. When we detect unsafe sites, we show warnings on Google Search and in web browsers. You can search to see whether a website is currently dangerous to visit.",https://transparencyreport.google.com/safe-browsing/search?hl=en,
30,How do I protect my data if I lost my iphone?,,"1.Look for your device on a map
To find your device, sign in to iCloud.com/find. Or use the Find My app on another Apple device that you own.
If your iPhone, iPad or iPod touch doesn’t appear in the list of devices, Find My was not turned on. But you can still protect your account if Find My was not turned on.
2. Mark as Lost
When you mark your device as lost, you lock it remotely with a passcode, keeping your information secure. This also disables Apple Pay on the missing device. And you can display a custom message with your contact information on the missing device. 

3.Report your missing device to the police
The police might request the serial number of your device. 

4.File a Theft and Loss claim
If your missing iPhone is covered by AppleCare+ with Theft and Loss, file a claim for an iPhone replacement.

5.Erase your device remotely
After you erase a device, you can't track its location, so make sure you no longer need to search for the device. If you have AppleCare+ with Theft and Loss, do not erase your iPhone until your claim has been approved.

6. Contact your wireless network provider
If the missing device is an iPhone or an iPad with cellular, report your missing device to your wireless network provider. Ask the network provider to disable your account to prevent calls, texts and data use. And if your device is covered under your wireless network provider plan, file a claim.

7. Remove your missing device from your account
If you have AppleCare+ with Theft and Loss, do not remove your lost iPhone from your account until your claim has been approved.",https://support.apple.com/en-gb/HT201472,
31,How do I improve my phone security? ,,"1. Keep Your Phone Locked
2. Set Secure Passwords
3. Keep Your Device’s OS Up-To-Date
4.Connect to Secure Wifi
5. Beware of Downloads
6. Don’t Jailbreak or Root Your Phone
7. Encrypt Your Data
8. Install Anti-Virus Software",https://www.pandasecurity.com/en/mediacenter/panda-security/mobile-security-tips/,
32,How I can recover my Google account as it was hacked? ,,"Step 1: Sign in to your Google Account:
Step 2: Review activity & help secure your hacked Google Account

Step 3: Take more security steps
Turn on 2-Step Verification
Contact your bank or local authorities
Remove harmful software
Install a more secure browser
Help prevent password theft with Password Alert
Help secure your apps and devices
Help secure other Google products you use

4: Find out if your Google Account has been hacked
If you notice any of these signs, someone else may be using your Google Account.

Important: If you think someone else is signed in to your Google Account, change your password immediately for:

Your Google Account, if you didn’t change it already
Apps and sites:
That you use the same password you used for your Google Account
That contact you through your Google Account email address
Where you sign in with your Google Account email address
Where you saved passwords in your Google Account
You can then check for and remove any unfamiliar devices signed in to your account.

5. Suspicious account activity
Unfamiliar changes to critical security settings
Unauthorized financial activity
Unusual activity notifications
Suspicious activity in Google products you use:",https://support.google.com/accounts/answer/7682439?hl=en,
33,Are cryptocurrency transactions traceable?,,"Due to the highly secure nature of transactions, purchases cannot be traced.","https://www.yahoo.com/now/does-cryptocurrency-safe-110059367.html#:~:text=Due%20to%20their%20nature%2C%20cryptocurrencies,other%20cryptocurrencies%20are%20vastly%20reduced.&text=Cryptocurrencies%20use%20cryptography%20technology%20to%20keep%20transactions%20and%20coins%20secure.",
34,One way to scan virus files downloaded from the internet?,,"1. Visit the Virus Total Homepage.
2. Click on the ""Submit a URL"" tab and enter the address of the website where you are about to download the file from.
3. Hit the ""Submit URL"" button. Virus Scan will check the website for viruses and let you know whether it is safe for downloading files from there or not.",https://www.wikihow.com/Check-a-Download-for-Viruses,
35,How to set up apple pay?,,"Go to Wallet and tap the add button.
Follow the steps to add a new card. Watch the demo to see how it works. If you're asked to add the card that you use with your Apple ID, cards on other devices, or cards that you’ve recently removed, choose them, then enter the card security codes. You might be required to download an app from your bank or card issuer to add a card to Wallet. In China mainland, you might be required to create or update a 6-digit passcode.
Tap Next. Your bank or card issuer will verify your information and decide if you can use your card with Apple Pay. If your bank or issuer needs more information to verify your card, they'll ask you for it. When you have the information, go back to Wallet and tap your card.
After your bank or issuer verifies your card, tap Next. Then start using Apple Pay.",https://support.apple.com/en-us/HT204506,
36,How to block anonymous number from calling ifor iphone? ,,"1. Detect and block spam phone calls
You can use Silence Unknown Callers or a third-party app to block spam calls on your iPhone.

2. Turn on Silence Unknown Callers
With iOS 13 and later, you can turn on Silence Unknown Callers to avoid getting calls from people you don’t know. This blocks phone numbers that you've never been in contact with and don’t have saved in your contacts list. If you’ve previously texted with someone using their phone number or if a person has shared their phone number with you in an email, a phone call from that number will go through.
To turn on Silence Unknown Callers, go to Settings > Phone, then scroll down, tap Silence Unknown Callers, and turn on the feature. Calls from unknown numbers are silenced and sent to your voicemail, and appear in your recent calls list.
Incoming calls will come through from people that are saved in your contacts list, recent calls list, and from Siri Suggestions to let you know who’s calling based on phone numbers included in your emails or text messages.
If an emergency call is placed, Silence Unknown Callers will be temporarily disabled for the next 24 hours to allow for your iPhone to be reached.
Before you turn on Silence Unknown Callers, make sure you have important contacts saved or you could miss a phone call that you don’t want to miss. The call will still go to voicemail and appear in your recent calls list, but you won’t get a notification while the call is ringing.

3. Set up an app to filter and detect spam calls
Go to the App Store and download an app that detects and blocks spam phone calls. You can download and install multiple apps with this feature from different app developers.
Go to Settings > Phone.
Tap Call Blocking & Identification.
Under Allow These Apps To Block Calls And Provide Caller ID, turn the app on or off. You can also reorder the apps based on priority. Just tap Edit and then drag the apps in the order you want them.

Phone numbers that appear under Blocked Contacts are numbers that you manually block.",https://support.apple.com/en-vn/HT207099,
37,What should I do if my computer got virus?,,"1. Removing a computer virus from a PC
Computer viruses are almost always invisible. Without anti-virus protection, you may not know you have one. This is why it is vital to install anti-virus protection on all your devices.
If your PC has a virus, following these ten simple steps will help you to get rid of it:
Step 1: Download and install a virus scanner
Step 2: Disconnect from internet
Step 3: Reboot your computer into safe mode
Step 4: Delete any temporary files
Step 5: Run a virus scan
Step 6: Delete or quarantine the virus
Step 7: Reboot your computer
Step 8: Change all your passwords
Step 9: Update your software, browser and operating system",,
